now,currency,cash,frozen_cash,total_returns,daily_returns,daily_pnl,market_value,dividend_receivable,total_value,units,units_net_value,static_unit_net_value,transaction_cost,pnl,start_date,annualized_returns
2022-12-21,CNY,4172.342896488799,0,0.6939830297896485,0.007026533036020256,118197.75677001849,16935657.955,0,16939830.297896486,0,0,0,1100035.5989370674,6939830.297896486,2017-01-01,0.09221702847783675
2022-12-22,CNY,9525.801147108443,0,0.7045312203147109,0.006226857258642202,105481.90525062382,17035786.402000003,0,17045312.20314711,0,0,0,1118876.5661814725,7045312.20314711,2017-01-01,0.09330756024803466
2022-12-23,CNY,9526.52669739161,0,0.7012971658697389,-0.0018973277851578121,-32340.54444972053,17003445.132,0,17012971.65869739,0,0,0,1118876.5661814725,7012971.658697389,2017-01-01,0.09291578762252195
2022-12-26,CNY,9527.252302937657,0,0.7118054348302938,0.0061766216810117645,105082.68960554898,17108527.096,0,17118054.348302938,0,0,0,1118876.5661814725,7118054.348302938,2017-01-01,0.09390665294807521
2022-12-27,CNY,9527.977963750795,0,0.7163424627963748,0.002650434374003944,45370.279660809785,17153896.65,0,17163424.627963748,0,0,0,1118876.5661814725,7163424.627963748,2017-01-01,0.09434509044460326
2022-12-28,CNY,9528.703679835231,0,0.7120170592679835,-0.0025201284837665637,-43254.03528391197,17110641.889000002,0,17120170.592679836,0,0,0,1118876.5661814725,7120170.592679836,2017-01-01,0.09383946580451963
2022-12-29,CNY,9529.429451195178,0,0.7148339644451194,0.0016453721426936043,28169.051771357656,17138810.215,0,17148339.644451194,0,0,0,1118876.5661814725,7148339.6444511935,2017-01-01,0.09409452820561248
2022-12-30,CNY,9530.155277834843,0,0.7224297120277834,0.004429436167087917,75957.47582663968,17214766.965,0,17224297.120277833,0,0,0,1118876.5661814725,7224297.120277833,2017-01-01,0.09485578662271754
2023-01-03,CNY,9530.881159758439,0,0.7251590445159759,0.0015845827955321481,27293.32488192618,17242059.564,0,17251590.44515976,0,0,0,1118876.5661814725,7251590.445159759,2017-01-01,0.09496329354097677
2023-01-04,CNY,9531.607096970176,0,0.7212602707096969,-0.002259950361488568,-38987.738062791526,17203071.099999998,0,17212602.707096968,0,0,0,1118876.5661814725,7212602.707096968,2017-01-01,0.09450618008810041
2023-01-05,CNY,9532.333089474265,0,0.7209386063089476,-0.00018687725861275754,-3216.6440074928105,17199853.73,0,17209386.063089475,0,0,0,1118876.5661814725,7209386.063089475,2017-01-01,0.09442717521452249
2023-01-06,CNY,9533.059137274917,0,0.7135900688137273,-0.004270075334634483,-73485.3749522008,17126367.629,0,17135900.688137274,0,0,0,1118876.5661814725,7135900.688137274,2017-01-01,0.09360447449612619
2023-01-09,CNY,14716.568826856561,0,0.7180569581826859,0.002606743263895493,44668.89368958399,17165853.013,0,17180569.58182686,0,0,0,1128414.4773212369,7180569.581826858,2017-01-01,0.09394343804572203
2023-01-10,CNY,14717.689741571729,0,0.7121364494741571,-0.0034460491430920634,-59205.08708528802,17106646.805,0,17121364.49474157,0,0,0,1128414.4773212369,7121364.49474157,2017-01-01,0.09327277995554395
2023-01-11,CNY,14718.810741663441,0,0.7184866239741661,0.003708918469646128,63501.74500009045,17170147.428999998,0,17184866.23974166,0,0,0,1128414.4773212369,7184866.239741661,2017-01-01,0.09389956830766444
2023-01-12,CNY,14719.931827138202,0,0.724583613582714,0.003547883075428286,60969.896085478365,17231116.204,0,17245836.13582714,0,0,0,1128414.4773212369,7245836.135827139,2017-01-01,0.09449704955761451
2023-01-13,CNY,14721.052998002513,0,0.7328109866998003,0.00477064321630335,82273.73117086291,17313388.814,0,17328109.866998002,0,0,0,1128414.4773212369,7328109.866998002,2017-01-01,0.0953151736347928
2023-01-16,CNY,14722.17425426288,0,0.7311128044254263,-0.0009800158744423947,-16981.822743739933,17296405.869999997,0,17311128.044254262,0,0,0,1128414.4773212369,7311128.044254262,2017-01-01,0.09500205471748324
2023-01-17,CNY,14723.295595925807,0,0.7322272775595926,0.0006437900125961345,11144.731341663748,17307549.48,0,17322272.775595926,0,0,0,1128414.4773212369,7322272.775595926,2017-01-01,0.09507354536487123
2023-01-18,CNY,14724.417022997797,0,0.7403203947023,0.004672087345321844,80931.17142707482,17388479.53,0,17403203.947023,0,0,0,1128414.4773212369,7403203.947023001,2017-01-01,0.09587222343492141
2023-01-19,CNY,14725.538535485357,0,0.7337141638535489,-0.003795985422489565,-66062.30848751217,17322416.1,0,17337141.63853549,0,0,0,1128414.4773212369,7337141.638535488,2017-01-01,0.09513871975077137
2023-01-20,CNY,14726.660133394993,0,0.7339008200133394,0.00010766259149416086,1866.561597906053,17324281.54,0,17339008.200133394,0,0,0,1128414.4773212369,7339008.200133394,2017-01-01,0.09511316864010722
2023-01-23,CNY,14727.78181673321,0,0.7339009321816732,6.469132050965561e-08,1.1216833367943764,17324281.54,0,17339009.32181673,0,0,0,1128414.4773212369,7339009.321816731,2017-01-01,0.0949783654830949
2023-01-24,CNY,14728.903585506516,0,0.7339010443585503,6.469624370007234e-08,1.1217687726020813,17324281.54,0,17339010.443585504,0,0,0,1128414.4773212369,7339010.443585504,2017-01-01,0.09493352370465047
2023-01-25,CNY,14730.025439721418,0,0.7339011565439719,6.470116731923374e-08,1.1218542158603668,17324281.54,0,17339011.56543972,0,0,0,1128414.4773212369,7339011.56543972,2017-01-01,0.09488872423189743
2023-01-26,CNY,14731.147379384422,0,0.7339012687379383,6.47060911522894e-08,1.1219396628439426,17324281.54,0,17339012.687379383,0,0,0,1128414.4773212369,7339012.687379383,2017-01-01,0.09484396700503339
2023-01-27,CNY,14732.269404502038,0,0.73390138094045,6.471101541408941e-08,1.122025117278099,17324281.54,0,17339013.8094045,0,0,0,1128414.4773212369,7339013.8094045,2017-01-01,0.09479925196436811
2023-01-30,CNY,14733.391515080775,0,0.7368822271515083,0.0017191555666456037,29808.46211058274,17354088.880000003,0,17368822.271515083,0,0,0,1128414.4773212369,7368822.271515083,2017-01-01,0.09497437468609471
2023-01-31,CNY,20621.352572147447,0,0.7321511252572148,-0.002723904833808089,-47311.01894293353,17300889.900000002,0,17321511.25257215,0,0,0,1147479.9958580502,7321511.252572149,2017-01-01,0.09443918389518946
2023-02-01,CNY,20622.92323565038,0,0.7452573123235651,0.007566422395392282,131061.87066350132,17431950.2,0,17452573.12323565,0,0,0,1147479.9958580502,7452573.12323565,2017-01-01,0.09575009835490733
2023-02-02,CNY,20624.494018785812,0,0.7532561094018788,0.0045831620482737895,79987.97078313679,17511936.6,0,17532561.094018787,0,0,0,1147479.9958580502,7532561.094018787,2017-01-01,0.09652764383393864
2023-02-03,CNY,20626.064921562847,0,0.7438754164921564,-0.005350440736762991,-93806.92909722403,17418128.1,0,17438754.164921563,0,0,0,1147479.9958580502,7438754.164921563,2017-01-01,0.09551767624234841
2023-02-06,CNY,20627.6359439906,0,0.732440333594399,-0.006557282010867088,-114350.82897757366,17303775.7,0,17324403.33594399,0,0,0,1147479.9958580502,7324403.335943989,2017-01-01,0.09420317037691905
2023-02-07,CNY,20629.20708607819,0,0.7302159807086079,-0.0012839419878755158,-22243.528857909143,17281530.6,0,17302159.80708608,0,0,0,1147479.9958580502,7302159.80708608,2017-01-01,0.0939288114468928
2023-02-08,CNY,20630.778347834723,0,0.7272195278347835,-0.0017318374741847795,-29964.528738245368,17251564.5,0,17272195.278347835,0,0,0,1147479.9958580502,7272195.278347835,2017-01-01,0.09357447304362032
2023-02-09,CNY,20632.349729269317,0,0.7318809249729268,0.0026987867280465435,46613.97138143331,17298176.9,0,17318809.24972927,0,0,0,1147479.9958580502,7318809.249729268,2017-01-01,0.09401291156094782
2023-02-10,CNY,20633.92123039109,0,0.7262954921230391,-0.0032250674797258774,-55854.328498877585,17242321.0,0,17262954.92123039,0,0,0,1147479.9958580502,7262954.921230391,2017-01-01,0.09339113589090031
2023-02-13,CNY,20635.492851209154,0,0.7284117292851209,0.001225883501253484,21162.371620818973,17263481.8,0,17284117.29285121,0,0,0,1147479.9958580502,7284117.29285121,2017-01-01,0.09347886579692921
2023-02-14,CNY,20637.06459173263,0,0.7370182164591734,0.004979419560877462,86064.87174052373,17349545.1,0,17370182.164591733,0,0,0,1147479.9958580502,7370182.164591733,2017-01-01,0.09432209564011496
2023-02-15,CNY,8474.063405202918,0,0.7296686963405203,-0.004231112862843008,-73495.20118653029,17288212.9,0,17296686.963405203,0,0,0,1166454.4424381538,7296686.963405203,2017-01-01,0.09352120629756278
2023-02-16,CNY,8474.708847933483,0,0.7384174108847932,0.005058029068099891,87487.14544272795,17375699.4,0,17384174.10884793,0,0,0,1166454.4424381538,7384174.108847931,2017-01-01,0.09437765639080231
2023-02-17,CNY,8475.35433982539,0,0.7261206154339828,-0.007073557463136375,-122967.95450810343,17252730.8,0,17261206.154339828,0,0,0,1166454.4424381538,7261206.154339828,2017-01-01,0.09306792031207256
2023-02-20,CNY,8475.99988088238,0,0.7331561299880884,0.004075911318825669,70355.14554105699,17323085.3,0,17331561.299880885,0,0,0,1166454.4424381538,7331561.299880885,2017-01-01,0.0936617700099418
2023-02-21,CNY,8476.645471108202,0,0.7294826745471106,-0.0021195178999846988,-36734.55440977961,17286350.099999998,0,17294826.745471105,0,0,0,1166454.4424381538,7294826.745471105,2017-01-01,0.09324058581458416
2023-02-22,CNY,8477.2911105066,0,0.7191815691110506,-0.0059561772937432415,-103011.05436059833,17183338.4,0,17191815.691110507,0,0,0,1166454.4424381538,7191815.691110507,2017-01-01,0.09213540737097792
2023-02-23,CNY,8477.936799081317,0,0.7212951336799085,0.0012294015983144377,21135.645688578486,17204473.400000002,0,17212951.336799085,0,0,0,1166454.4424381538,7212951.336799085,2017-01-01,0.09231070849248435
2023-02-24,CNY,8478.5825368361,0,0.7293705082536834,0.004691452625274604,80753.74573775008,17285226.5,0,17293705.082536835,0,0,0,1166454.4424381538,7293705.082536835,2017-01-01,0.09309889627388301
2023-02-27,CNY,8479.228323774694,0,0.7188598128323775,-0.0060777579883212725,-105106.95421306044,17180118.9,0,17188598.128323775,0,0,0,1166454.4424381538,7188598.128323775,2017-01-01,0.09188826362284952
2023-02-28,CNY,8479.874159900846,0,0.7232970174159898,0.002581481369501988,44372.04583612457,17224490.299999997,0,17232970.1741599,0,0,0,1166454.4424381538,7232970.174159899,2017-01-01,0.09230234638152468
