date,100%策略,100%纳指100,50%策略+50%纳指100
2023-03-03,-0.02276857643054775,-0.25839872952585363,-0.09942126661569495
2023-03-06,-0.011803890793746774,-0.25769458660716604,-0.09394140602813761
2023-03-07,-0.007550659966355733,-0.26676397153500797,-0.09752660131820734
2023-03-08,-0.01675226328854096,-0.26295303179685015,-0.09936502286301607
2023-03-09,-0.01400586421305039,-0.2761941769130427,-0.10619721248695668
2023-03-10,-0.024383198819611374,-0.28618612784146147,-0.11707009205912866
2023-03-13,-0.019956064519740857,-0.2805813432898864,-0.11160048914742027
2023-03-14,-0.04036370340049944,-0.26389068226440815,-0.1105446182326536
2023-03-15,-0.027371055032971325,-0.26078147193022105,-0.10264492856685559
2023-03-16,-0.037797202313530676,-0.24086575186413905,-0.09536646634819046
2023-03-17,-0.035954924312334935,-0.2445771341202202,-0.0967118014637417
2023-03-20,-0.03088819883012761,-0.24199889702377475,-0.09279664981721858
2023-03-21,-0.03025496581025955,-0.231208676102705,-0.08604319443105368
2023-03-22,-0.031016397011361607,-0.2417249631033942,-0.09265300984901614
2023-03-23,-0.029512300515085133,-0.23194540147007237,-0.08609771904822916
2023-03-24,-0.027707079654528233,-0.22966342330514,-0.08389008220756844
2023-03-27,-0.027253942746124915,-0.23533397613275342,-0.08704841094913118
2023-03-28,-0.028551687513317714,-0.23910509287808057,-0.0899086069266698
2023-03-29,-0.02626370720669735,-0.22489793849640483,-0.08034042288790999
2023-03-30,-0.02576210682663127,-0.21783177078368066,-0.07591154248832876
2023-03-31,-0.02295843619143645,-0.2046654446237154,-0.06680422472343861
2023-04-03,-0.024733921823023697,-0.20665659426524807,-0.06882027429445692
2023-04-04,-0.022337697890645436,-0.20956910314999921,-0.06938558792825478
2023-04-05,-0.022337663268574337,-0.2175867990399043,-0.07410539159931628
2023-04-06,-0.022124109259213154,-0.211830566439837,-0.07059835412231397
2023-04-10,-0.024980843487640292,-0.21251660799814687,-0.07236040243988517
2023-04-11,-0.02318321948958446,-0.21777022615839692,-0.07459959509482195
2023-04-12,-0.022668708653640124,-0.22475795464281834,-0.07848922300762828
2023-04-13,-0.023945359057886084,-0.20900735759961542,-0.06972992026288949
2023-04-14,-0.01982064948105089,-0.21080964971454208,-0.06882412520132519
2023-04-17,-0.01957349037654843,-0.21031548257623456,-0.06841518684368375
2023-04-18,-0.019486071831684937,-0.2100693040750995,-0.06822844757488378
2023-04-19,-0.021614142503247002,-0.21025454132963017,-0.06934883793173885
2023-04-20,-0.020937033117264803,-0.2164536538802686,-0.0726793774943778
2023-04-21,-0.023877320076330477,-0.21556125681365423,-0.0735437533178116
2023-04-24,-0.019614295555053896,-0.21743233409801577,-0.0726256070584449
2023-04-25,-0.015310465148766106,-0.2321939934859244,-0.07933663223627929
2023-04-26,-0.01726093580363619,-0.22728369779416902,-0.07730452931938281
2023-04-27,-0.018104067722702455,-0.20595184796788157,-0.0649642273402159
2023-04-28,-0.014718866856172519,-0.20076520484102856,-0.06029862475939485
2023-05-01,-0.014718758740616233,-0.20164131068330304,-0.0608136145080167
2023-05-02,-0.01471865061682509,-0.20874971490357486,-0.0649947139764897
2023-05-03,-0.014718542484798536,-0.21378490998193567,-0.06796965939480981
2023-05-04,-0.018433846411118893,-0.21666483641800705,-0.07143393733385806
2023-05-05,-0.020680632362690132,-0.19997236525649098,-0.06260303859634919
2023-05-08,-0.01488144630562227,-0.1980107811702415,-0.05867837081211191
2023-05-09,-0.017141307035358544,-0.2034731683535128,-0.06296375960133527
2023-05-10,-0.01646261529492299,-0.1946203963715225,-0.057433022566790615
2023-05-11,-0.01780623087765354,-0.19208922281205887,-0.056595680134540416
2023-05-12,-0.01954532890861127,-0.1950819810611505,-0.05917822303578013
2023-05-15,-0.01787515967825115,-0.19065740520619312,-0.055791080556469974
2023-05-16,-0.020880127126982173,-0.18990318185712773,-0.056795606992660064
2023-05-17,-0.02035959631059092,-0.1800530249183332,-0.05081056692405139
2023-05-18,-0.01641797172181203,-0.16524852564419767,-0.04033200097975098
2023-05-19,-0.011982706747750593,-0.16712684347271034,-0.039247985748775305
2023-05-22,-0.011500396065480811,-0.1643362170811682,-0.03740393655072061
2023-05-23,-0.012949552401095521,-0.17502808727751973,-0.044267477560564594
2023-05-24,-0.02025969004073136,-0.17913468256851117,-0.05018532713464752
2023-05-25,-0.016188820501177648,-0.15897881778808653,-0.036550993459996906
2023-05-26,-0.016580676384008952,-0.13726442587915344,-0.024305183477563275
2023-05-30,-0.013597575560820752,-0.13385050931194364,-0.02089489596099925
2023-05-31,-0.01783642363939497,-0.13993860018559978,-0.026439663804801228
2023-06-01,-0.01521151284692246,-0.12863007697905238,-0.018738272458148186
2023-06-02,-0.009114535080389619,-0.12228675692407265,-0.012129050688350573
2023-06-05,-0.0006164889347370917,-0.12169182554632985,-0.0075581549577897755
2023-06-06,0.0,-0.12159588833632862,-0.006518989325130398
2023-06-07,-0.0020000647083251444,-0.1369699770836782,-0.016206601825873634
2023-06-08,-0.009444089656667431,-0.12603373852222954,-0.01364236084561865
2023-06-09,-0.00017511000747161276,-0.12338973314974577,-0.007535502172510422
2023-06-12,0.0,-0.10794685923296155,0.0
2023-06-13,0.0,-0.1009144807262754,0.0
2023-06-14,0.0,-0.09458865865299393,0.0
2023-06-15,-0.0027504930953325957,-0.08374051337871613,0.0
2023-06-16,0.0,-0.08986842724520283,-0.001521826315888708
2023-06-20,0.0,-0.09069927968653324,-0.0016051744589609118
2023-06-21,0.0,-0.10292976551497823,-0.006071070237419929
2023-06-22,0.0,-0.09237848255089265,-0.00022580369151781188
2023-06-23,0.0,-0.1014798465487351,-0.0052385236163597915
2023-06-26,-0.010571883985609487,-0.11369585128887782,-0.017259011218558884
2023-06-27,-0.016471842280095794,-0.09819565639756467,-0.011595683892147823
2023-06-28,-0.012660769869660249,-0.09706914840340053,-0.00906335728404939
2023-06-29,-0.010868396548059489,-0.098555270090399,-0.008979389943609806
2023-06-30,-0.007861546327672775,-0.08411883181060753,0.0
2023-07-03,0.0,-0.08234007146417166,0.0
2023-07-05,0.0,-0.08263633039568441,-2.5551199055451335e-06
2023-07-06,-0.00023810044120020635,-0.08953475883557638,-0.0038815156596347933
2023-07-07,-0.003280035220651789,-0.09270853068844376,-0.007133114570007537
2023-07-10,-0.00630648414039614,-0.0921781608293809,-0.008350292188601394
2023-07-11,-0.0033251197253990616,-0.08774815456631013,-0.004443140440335114
2023-07-12,0.0,-0.07639437795881865,0.0
2023-07-13,0.0,-0.06041992742561286,0.0
2023-07-14,-0.0006711398099332744,-0.06080488302297593,-0.0005404250357848861
2023-07-17,0.0,-0.05189418668777723,0.0
2023-07-18,0.0,-0.04416671594259247,0.0
